0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/baner-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/best-product-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/best-product-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/best-product-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/best-product-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/best-product-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/best-product-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/testimonial-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/hero-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/payment.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/lib/lightbox/images/next.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/lib/lightbox/images/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/lib/lightbox/images/prev.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/lib/lightbox/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:18 +0530] "GET /Project/index.jsp HTTP/1.1" 200 85820
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:19 +0530] "GET /Project/shop-page.jsp HTTP/1.1" 200 41859
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:19 +0530] "GET /Project/img/banner-fruits.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:19 +0530] "GET /Project/img/cart-page-header-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:21 +0530] "GET /Project/shop-detail.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:21 +0530] "GET /Project/img/single-item.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:21 +0530] "GET /Project/img/avatar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:45 +0530] "GET /Project/index.jsp HTTP/1.1" 200 85820
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:49 +0530] "GET /Project/shop-detail-page.jsp HTTP/1.1" 200 51001
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:52 +0530] "GET /Project/shop.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:55 +0530] "GET /Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:07:06 +0530] "GET /Project/contact.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:07:14 +0530] "GET /Project/index.jsp HTTP/1.1" 200 85820
